Kategory; Name; Dauer; Größe; Codec; Aspect Ratio; Auflösung; Kompressionsrate
;22. Ein Quantum Trost;01:46:14;26,57;h264;16:9;1920x1080;15,02
;22. Ein Quantum Trost;01:41:52;5,05;mpeg2video;5:4;720x576;2,97
;23. Skyfall;02:23:09;29,25;h264;16:9;1920x1080;12,27
;24. Spectre;02:28:06;32,08;h264;16:9;1920x1080;13,01
;25. Keine Zeit zu sterben;02:43:33;39,92;h264;16:9;1920x1080;14,66
;3. Goldfinger;01:45:27;5,62;mpeg2video;5:4;720x576;3,2
;4. Feuerball;02:04:57;6,61;mpeg2video;5:4;720x576;3,17
;6. Im Geheimdienst Ihrer Majestät;02:16:21;6,72;mpeg2video;5:4;720x576;2,96
;7. Diamantenfieber;01:55:07;6,05;mpeg2video;5:4;720x576;3,15
;8. Leben und sterben lassen;01:56:34;6,49;mpeg2video;5:4;720x576;3,34
;9. Der Mann mit dem goldenen Colt;01:59:57;6,26;mpeg2video;5:4;720x576;3,13
John Wick;John Wick;01:42:17;19,45;h264;16:9;1920x1080;11,42
;John Wick 2;02:03:03;30,06;h264;16:9;1920x1080;14,67
;John Wick 3;02:11:39;27,8;h264;16:9;1920x1080;12,68
MCU;ANT-MAN;01:57:06;36,25;h264;16:9;1920x1080;18,59
;ANT-MAN AND THE WASP;01:58:06;34,61;h264;16:9;1920x1080;17,6
;AVENGERS;02:22:54;34,54;h264;16:9;1920x1080;14,52
;AVENGERS AGE OF ULTRON;02:21:18;33,78;h264;16:9;1920x1080;14,36
;AVENGERS ENDGAME;03:01:11;39,89;h264;16:9;1920x1080;13,22
;AVENGERS INFINITY WAR;02:29:21;36,44;h264;16:9;1920x1080;14,65
;BLACK PANTHER;02:14:33;31,87;h264;16:9;1920x1080;14,23
;CAPTAIN AMERICA CIVIL WAR;02:27:41;35,42;h264;16:9;1920x1080;14,4
;CAPTAIN AMERICA THE FIRST AVENGER;02:04:11;33,96;h264;16:9;1920x1080;16,42
;CAPTAIN AMERICA THE WINTER SOLDIER;02:15:54;38,93;h264;16:9;1920x1080;17,2
;Captain Marvel;02:03:42;34,58;h264;16:9;1920x1080;16,79
;DOCTOR STRANGE;01:54:58;31,87;h264;16:9;1920x1080;16,65
;GUARDIANS OF THE GALAXY VOL. 1;02:00:51;35,72;h264;16:9;1920x1080;17,75
;GUARDIANS OF THE GALAXY VOL. 2;02:15:46;35,77;h264;16:9;1920x1080;15,82
