Kategorie;Name;Dauer;Größe;Codec;Aspect Ratio;Auflösung;Kompressionsrate;Bars
;Der Hobbit III - Die Schlacht der fünf Heere;02:44:02;37,43;h264;16:9;1920x1080;13,7;1
Fluch der Karibik;Fluch der Karibik I;02:23:09;27,52;h264;16:9;1920x1080;11,55;1
;Fluch der Karibik II;02:30:39;27,83;h264;16:9;1920x1080;11,1;1
;Fluch der Karibik III;02:48:30;34,83;h264;16:9;1920x1080;12,41;1
;Fluch der Karibik IV;02:16:23;35,26;h264;16:9;1920x1080;15,53;1
;Fluch der Karibik V;02:09:07;34,76;h264;16:9;1920x1080;16,17;1
Harry Potter;Harry Potter und der Feuerkelch;02:37:05;19,04;vc1;16:9;1920x1080;7,28;1
;Harry Potter und der Gefangene von Askaban;02:21:42;23,33;vc1;16:9;1920x1080;9,89;1
;Harry Potter und der Halbblutprinz;02:33:30;25,53;vc1;16:9;1920x1080;9,99;1
;Harry Potter und der Orden des Phönix;02:18:14;19,12;vc1;16:9;1920x1080;8,31;1
;Harry Potter und der Stein der Weisen;02:38:50;25,78;vc1;16:9;1920x1080;9,75;1
;Harry Potter und die Heiligtümer des Todes 1;02:26:05;23,6;h264;16:9;1920x1080;9,7;1
;Harry Potter und die Heiligtümer des Todes 2;02:10:26;21,3;h264;16:9;1920x1080;9,81;1
;Harry Potter und die Kammer des Schreckens;02:54:24;26,69;vc1;16:9;1920x1080;9,19;1
Indiana Jones;Indiana Jones I;01:55:18;32,86;h264;16:9;1920x1080;17,11;1
;Indiana Jones II;01:58:28;34,03;h264;16:9;1920x1080;17,25;1
;Indiana Jones III;02:06:53;36,44;h264;16:9;1920x1080;17,25;1
;Indiana Jones IV;02:02:31;34,63;h264;16:9;1920x1080;16,98;1
James Bond;1. James Bond jagt Dr. No;01:45:13;6,11;mpeg2video;5:4;720x576;3,48;0
;11. Moonraker – Streng geheim;02:01:11;6,3;mpeg2video;5:4;720x576;3,12;1
;13. Octopussy;02:05:22;6,05;mpeg2video;5:4;720x576;2,9;1
;14. Im Angesicht des Todes;02:05:49;6,74;mpeg2video;5:4;720x576;3,21;1
;15. Der Hauch des Todes;02:05:25;6,02;mpeg2video;5:4;720x576;2,88;1
;16. Lizenz zum Töten;02:07:41;6,12;mpeg2video;5:4;720x576;2,88;1
;17. Goldeneye;02:04:40;6,26;mpeg2video;5:4;720x576;3,01;1
;18. Der Morgen stirbt nie;01:54:19;6,33;mpeg2video;5:4;720x576;3,32;1
;19. Die Welt ist nicht genug;02:03:04;5,76;mpeg2video;5:4;720x576;2,81;1
;2. Liebesgrüße aus Moskau;01:50:16;5,77;mpeg2video;5:4;720x576;3,14;1
;20. Stirb an einem anderen Tag;02:07:02;5,83;mpeg2video;5:4;720x576;2,75;1
;21. Casino Royale;02:18:38;6,69;mpeg2video;5:4;720x576;2,9;1
;21. Casino Royale;02:24:33;29,86;h264;16:9;1920x1080;12,41;1
;22. Ein Quantum Trost;01:46:14;26,57;h264;16:9;1920x1080;15,02;1
;22. Ein Quantum Trost;01:41:52;5,05;mpeg2video;5:4;720x576;2,97;1
;23. Skyfall;02:23:09;29,25;h264;16:9;1920x1080;12,27;1
;24. Spectre;02:28:06;32,08;h264;16:9;1920x1080;13,01;1
;25. Keine Zeit zu sterben;02:43:33;39,92;h264;16:9;1920x1080;14,66;1
;3. Goldfinger;01:45:27;5,62;mpeg2video;5:4;720x576;3,2;0
;4. Feuerball;02:04:57;6,61;mpeg2video;5:4;720x576;3,17;1
;6. Im Geheimdienst Ihrer Majestät;02:16:21;6,72;mpeg2video;5:4;720x576;2,96;1
;7. Diamantenfieber;01:55:07;6,05;mpeg2video;5:4;720x576;3,15;1
;8. Leben und sterben lassen;01:56:34;6,49;mpeg2video;5:4;720x576;3,34;0
;9. Der Mann mit dem goldenen Colt;01:59:57;6,26;mpeg2video;5:4;720x576;3,13;0
John Wick;John Wick;01:42:17;19,45;h264;16:9;1920x1080;11,42;1
;John Wick 2;02:03:03;30,06;h264;16:9;1920x1080;14,67;1
;John Wick 3;02:11:39;27,8;h264;16:9;1920x1080;12,68;1
MCU;ANT-MAN;01:57:06;36,25;h264;16:9;1920x1080;18,59;0
;ANT-MAN AND THE WASP;01:58:06;34,61;h264;16:9;1920x1080;17,6;1
;AVENGERS;02:22:54;34,54;h264;16:9;1920x1080;14,52;0
;AVENGERS AGE OF ULTRON;02:21:18;33,78;h264;16:9;1920x1080;14,36;1
;AVENGERS ENDGAME;03:01:11;39,89;h264;16:9;1920x1080;13,22;1
;AVENGERS INFINITY WAR;02:29:21;36,44;h264;16:9;1920x1080;14,65;1
;BLACK PANTHER;02:14:33;31,87;h264;16:9;1920x1080;14,23;1
;CAPTAIN AMERICA CIVIL WAR;02:27:41;35,42;h264;16:9;1920x1080;14,4;1
;CAPTAIN AMERICA THE FIRST AVENGER;02:04:11;33,96;h264;16:9;1920x1080;16,42;1
;CAPTAIN AMERICA THE WINTER SOLDIER;02:15:54;38,93;h264;16:9;1920x1080;17,2;1
;Captain Marvel;02:03:42;34,58;h264;16:9;1920x1080;16,79;1
;DOCTOR STRANGE;01:54:58;31,87;h264;16:9;1920x1080;16,65;1
;GUARDIANS OF THE GALAXY VOL. 1;02:00:51;35,72;h264;16:9;1920x1080;17,75;1
;GUARDIANS OF THE GALAXY VOL. 2;02:15:46;35,77;h264;16:9;1920x1080;15,82;1
;IRON MAN;02:05:57;23,26;vc1;16:9;1920x1080;11,09;1
;IRON MAN 2;02:04:50;23,39;vc1;16:9;1920x1080;11,25;1
;IRON MAN 3;02:10:45;35,21;h264;16:9;1920x1080;16,17;1
;SPIDER MAN FAR FROM HOME;02:09:23;29,8;h264;16:9;1920x1080;13,83;1
;SPIDER MAN HOMECOMING;02:13:28;32,61;h264;16:9;1920x1080;14,67;1
;THOR;01:54:50;30,04;h264;16:9;1920x1080;15,71;1
;THOR RAGNAROK;02:10:30;31,02;h264;16:9;1920x1080;14,28;1
;THOR THE DARK WORLD;01:52:04;29,34;h264;16:9;1920x1080;15,72;1
Marvel;Venom;01:52:20;25,78;h264;16:9;1920x1080;13,78;1
;Venom 3D;01:52:20;32,99;h264;16:9;1920x1080;17,64;1
Men in Black;Men in Black I;01:37:58;20,86;h264;16:9;1920x1080;12,79;1
;Men in Black II;01:28:08;18,36;h264;16:9;1920x1080;12,51;1
;Men in Black III;01:45:50;26,47;h264;16:9;1920x1080;15,02;0
Filme;Mission Impossible;01:50:12;16,95;mpeg2video;16:9;1920x1080;9,24;1
;Mission Impossible;02:03:35;16,43;mpeg2video;16:9;1920x1080;7,98;1
;Mission Impossible;02:05:24;19,94;mpeg2video;16:9;1920x1080;9,55;1
;Mission Impossible;02:12:56;34,29;h264;16:9;1920x1080;15,49;1
;Mission Impossible;02:11:33;29,05;h264;16:9;1920x1080;13,26;1
;Mission Impossible;02:27:24;35,32;h264;16:9;1920x1080;14,39;1
Star Trek;Star Trek;02:06:50;34,1;h264;16:9;1920x1080;16,15;1
;Star Trek Beyond;02:02:22;28,4;h264;16:9;1920x1080;13,94;1
;Star Trek Into Darkness;02:12:05;34,28;h264;16:9;1920x1080;15,59;1
Star Wars;Star Wars I;02:16:10;35,52;h264;16:9;1920x1080;15,67;1
;Star Wars II;02:22:27;35,32;h264;16:9;1920x1080;14,89;1
;Star Wars III;02:20:05;35,59;h264;16:9;1920x1080;15,26;1
;Star Wars IV;02:04:44;34,85;h264;16:9;1920x1080;16,78;1
;Star Wars IX;02:21:53;40,94;h264;16:9;1920x1080;17,33;1
;Star Wars Rogue One;02:13:57;40,17;h264;16:9;1920x1080;18,01;1
;Star Wars Solo;02:14:46;38,43;h264;16:9;1920x1080;17,13;1
;Star Wars V;02:07:21;35,28;h264;16:9;1920x1080;16,64;1
;Star Wars VI;02:14:47;35,27;h264;16:9;1920x1080;15,72;1
;Star Wars VII;02:18:06;37,62;h264;16:9;1920x1080;16,36;1
;Star Wars VIII;02:31:51;38,24;h264;16:9;1920x1080;15,12;1
Transformers;Transformers;02:23:27;35,6;h264;16:9;1920x1080;14,9;1
;Transformers II;02:29:53;40,87;h264;16:9;1920x1080;16,38;1
;Transformers III;02:34:23;36,54;h264;16:9;1920x1080;14,21;1
;Transformers IV;02:38:21;5,89;mpeg2video;5:4;720x576;2,23;1
X-Men;Deadpool;01:43:42;5,81;mpeg2video;5:4;720x576;3,36;1
;Deadpool 2;02:13:59;34,71;h264;16:9;1920x1080;15,56;1
;Logan;02:17:23;30,7;h264;16:9;1920x1080;13,42;1
;X-Men;01:44:20;25,39;h264;16:9;1920x1080;14,62;1
;X-Men 2;02:13:47;29,83;h264;16:9;1920x1080;13,39;1
;X-Men Apocalypse;02:23:56;31,43;h264;16:9;1920x1080;13,11;1
;X-Men Days of Future Past;02:11:35;28,11;h264;16:9;1920x1080;12,83;1
;X-Men First Class;02:11:42;27,58;h264;16:9;1920x1080;12,58;1
;X-Men Origins Wolverine;01:47:21;20,71;h264;16:9;1920x1080;11,59;1
;X-Men The Last Stand;01:44:05;29,66;h264;16:9;1920x1080;17,11;1
;X-Men The Wolverine;02:06:08;34,22;h264;16:9;1920x1080;16,29;1
;Gesamt;377:49:05;4488,120000000003;;;;;
